Student_Id,Sem,subject code,subject,subject_short,grade,credits
21pa1a6155,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6155,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6156,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6156,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6156,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6157,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6157,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6157,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6158,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6158,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6158,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6159,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6159,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6159,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6160,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6160,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6161,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6161,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6161,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6162,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6162,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6162,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6163,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6163,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6163,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6164,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6164,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6164,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6165,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6165,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6165,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
21pa1a6166,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
21pa1a6166,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
21pa1a6166,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
